Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Components,Components,Components,Components,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
User Registration,JIR-1,10048,Epic,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Highest,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 12:15,4/1/2026 12:15,4/2/2026 11:25,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@123f2df2,,,,,ghx-label-12,,To Do,,,,grey,,,,,0|i0002n:,,,JIR Sprint 1,,,,,,,,,,,,,,,To Do,4/1/2026 12:15
Implement field validations,JIR-72,10153,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b9745ff,,,,,,,,,,,,,,,,0|i000if:,,,JIR Sprint 1,,,,,,,,,,,,10057,JIR-10,"As a user, I want to register using valid details so that I can create an account and access the platform.",To Do,4/2/2026 9:44
Develop registration API,JIR-73,10155,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7d1d89e5,,,,,,,,,,,,,,,,0|i000in:,,,JIR Sprint 1,,,,,,,,,,,,10057,JIR-10,"As a user, I want to register using valid details so that I can create an account and access the platform.",To Do,4/2/2026 9:44
Integrate frontend with backend,JIR-74,10157,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@34592ea9,,,,,,,,,,,,,,,,0|i000iv:,,,JIR Sprint 1,,,,,,,,,,,,10057,JIR-10,"As a user, I want to register using valid details so that I can create an account and access the platform.",To Do,4/2/2026 9:44
Store user data in database,JIR-75,10159,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@16999971,,,,,,,,,,,,,,,,0|i000j3:,,,JIR Sprint 1,,,,,,,,,,,,10057,JIR-10,"As a user, I want to register using valid details so that I can create an account and access the platform.",To Do,4/2/2026 9:44
Handle success & error responses,JIR-76,10161,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4c948304,,,,,,,,,,,,,,,,0|i000jb:,,,JIR Sprint 1,,,,,,,,,,,,10057,JIR-10,"As a user, I want to register using valid details so that I can create an account and access the platform.",To Do,4/2/2026 9:44
"As a user, I want to enter my full name with proper validation so that incorrect inputs are prevented.Validate Full Name Field",JIR-11,10058,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 13:58,4/2/2026 10:23,4/2/2026 11:08,,Backend API,Frontend (UI),,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d60fca7,,,,,,,,,,,,,,,,0|i0004v:,,,JIR Sprint 1,,,,,,,,,,,,10048,JIR-1,User Registration,To Do,4/1/2026 13:58
Implement name field UI validation,JIR-77,10163,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@51f202d3,,,,,,,,,,,,,,,,0|i000jj:,,,JIR Sprint 1,,,,,,,,,,,,10058,JIR-11,"As a user, I want to enter my full name with proper validation so that incorrect inputs are prevented.Validate Full Name Field",To Do,4/2/2026 9:44
Add min/max length validation,JIR-78,10165,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@422d826c,,,,,,,,,,,,,,,,0|i000jr:,,,JIR Sprint 1,,,,,,,,,,,,10058,JIR-11,"As a user, I want to enter my full name with proper validation so that incorrect inputs are prevented.Validate Full Name Field",To Do,4/2/2026 9:44
Restrict numbers & special characters,JIR-79,10167,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d08d6bd,,,,,,,,,,,,,,,,0|i000jz:,,,JIR Sprint 1,,,,,,,,,,,,10058,JIR-11,"As a user, I want to enter my full name with proper validation so that incorrect inputs are prevented.Validate Full Name Field",To Do,4/2/2026 9:44
Show inline error messages,JIR-80,10169,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2a77372f,,,,,,,,,,,,,,,,0|i000k7:,,,JIR Sprint 1,,,,,,,,,,,,10058,JIR-11,"As a user, I want to enter my full name with proper validation so that incorrect inputs are prevented.Validate Full Name Field",To Do,4/2/2026 9:44
Add backend validation,JIR-81,10171,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:44,4/2/2026 9:44,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@62ab7cf2,,,,,,,,,,,,,,,,0|i000kf:,,,JIR Sprint 1,,,,,,,,,,,,10058,JIR-11,"As a user, I want to enter my full name with proper validation so that incorrect inputs are prevented.Validate Full Name Field",To Do,4/2/2026 9:44
"As a user, I want to enter a valid email address so that I can register successfully.",JIR-12,10059,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 13:58,4/2/2026 10:23,,,Backend API,Database,Frontend (UI),,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@596eff85,,,,,,,,,,,,,,,,0|i00053:,,,JIR Sprint 1,,,,,,,,,,,,10048,JIR-1,User Registration,To Do,4/1/2026 13:58
Implement email format validation,JIR-82,10173,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6c04e2d1,,,,,,,,,,,,,,,,0|i000kn:,,,JIR Sprint 1,,,,,,,,,,,,10059,JIR-12,"As a user, I want to enter a valid email address so that I can register successfully.",To Do,4/2/2026 9:45
Validate empty field input,JIR-83,10175,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7cc4b5d4,,,,,,,,,,,,,,,,0|i000kv:,,,JIR Sprint 1,,,,,,,,,,,,10059,JIR-12,"As a user, I want to enter a valid email address so that I can register successfully.",To Do,4/2/2026 9:45
Create API for email validation,JIR-84,10177,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@46acd491,,,,,,,,,,,,,,,,0|i000l3:,,,JIR Sprint 1,,,,,,,,,,,,10059,JIR-12,"As a user, I want to enter a valid email address so that I can register successfully.",To Do,4/2/2026 9:45
Check duplicate email in database,JIR-85,10179,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@55f15f4f,,,,,,,,,,,,,,,,0|i000lb:,,,JIR Sprint 1,,,,,,,,,,,,10059,JIR-12,"As a user, I want to enter a valid email address so that I can register successfully.",To Do,4/2/2026 9:45
Display “Email already registered” error,JIR-86,10181,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2b3abb92,,,,,,,,,,,,,,,,0|i000lj:,,,JIR Sprint 1,,,,,,,,,,,,10059,JIR-12,"As a user, I want to enter a valid email address so that I can register successfully.",To Do,4/2/2026 9:45
"As a user, I want to verify my mobile number using OTP so that my account is secure.",JIR-13,10060,Story,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,High,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/1/2026 13:59,4/2/2026 10:23,,,Backend API,Frontend (UI),OTP / Notification Service,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c7e90ca,,,,,,,,,,,,,,,,0|i0005b:,,,JIR Sprint 1,,,,,,,,,,,,10048,JIR-1,User Registration,To Do,4/1/2026 13:59
Implement mobile number validation,JIR-87,10183,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f9fb385,,,,,,,,,,,,,,,,0|i000lr:,,,JIR Sprint 1,,,,,,,,,,,,10060,JIR-13,"As a user, I want to verify my mobile number using OTP so that my account is secure.",To Do,4/2/2026 9:45
Create OTP input UI,JIR-88,10185,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3a8597f0,,,,,,,,,,,,,,,,0|i000lz:,,,JIR Sprint 1,,,,,,,,,,,,10060,JIR-13,"As a user, I want to verify my mobile number using OTP so that my account is secure.",To Do,4/2/2026 9:45
Integrate OTP sending service,JIR-89,10187,Sub-task,To Do,JIR,JiraLearning,software,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,Medium,,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,4/2/2026 9:45,4/2/2026 9:45,,,,,,,,0,,,Ashish Singh,712020:a4b950a6-e6aa-4b39-ae43-52b472fc4124,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37c6ef71,,,,,,,,,,,,,,,,0|i000m7:,,,JIR Sprint 1,,,,,,,,,,,,10060,JIR-13,"As a user, I want to verify my mobile number using OTP so that my account is secure.",To Do,4/2/2026 9:45
